Order_ID,Date,Client,Categorie,Produit,Quantite,Prix_Unitaire,Remise,Pays,Canal_Vente,Frais_Livraison,Satisfaction,Montant_Total
CMD00102,2024-07-19,Jean Dupont,Jouets,Puzzle,1,527.3,0.1,Maroc,App,10.47,1,474.57
CMD00103,2024-02-15,Ali Benali,Beauté,Parfum,1,828.3,0.2,Allemagne,App,10.27,5,662.64
CMD00104,2024-10-29,Lucie Martin,Maison,Lampadaire,3,1646.85,0.05,Italie,Magasin,6.25,5,4693.522499999999
CMD00105,2024-01-05,Jean Dupont,Jouets,Jeu de société,1,842.3,0.25,Maroc,App,12.99,5,631.7249999999999
CMD00106,2024-09-23,Paolo Bianchi,Beauté,Sérum,1,1557.43,0.05,Belgique,Web,14.81,1,1479.5585
CMD00107,2024-06-25,Sarah Moreau,Sport,Chaussures de sport,5,1501.66,0.0,Belgique,Magasin,14.55,3,7508.3
CMD00108,2024-11-06,Emma Rossi,Électronique,Smartphone,5,136.39,0.0,Belgique,App,6.22,1,681.9499999999999
CMD00109,2024-01-23,Léa Durand,Maison,Machine à café,4,1627.67,0.3,Italie,Web,11.25,3,4557.476
CMD00110,2024-03-25,Sarah Moreau,Sport,Tapis de course,5,1454.98,0.05,France,App,12.74,1,6911.155
CMD00111,2024-10-14,Jean Dupont,Sport,Vélo,1,267.03,0.1,Allemagne,Web,4.12,4,240.32699999999997
CMD00112,2024-04-27,Emma Rossi,Électronique,Smartphone,2,722.74,0.3,Maroc,App,10.07,2,1011.8359999999999
CMD00113,2024-08-09,Sarah Moreau,Beauté,Parfum,3,1045.13,0.15,Italie,Magasin,12.25,4,2665.0815000000002
CMD00114,2024-12-06,Ali Benali,Jouets,Peluche,3,812.93,0.3,Espagne,App,0.43,5,1707.1529999999998
CMD00115,2024-08-13,Lucie Martin,Mode,Veste,2,1612.04,0.3,Maroc,App,2.05,4,2256.8559999999998
CMD00116,2024-11-03,Nina Müller,Électronique,Tablette,2,1183.94,0.25,Italie,Web,8.32,3,1775.91
CMD00117,2024-02-20,Nina Müller,Électronique,Tablette,1,1032.84,0.3,Belgique,Web,5.95,2,722.9879999999999
CMD00118,2024-11-25,Paolo Bianchi,Sport,Chaussures de sport,1,1899.55,0.15,Allemagne,App,6.89,1,1614.6174999999998
CMD00119,2024-07-23,Jean Dupont,Mode,Jean,1,523.91,0.2,France,App,14.7,5,419.128
CMD00120,2024-05-30,Youssef El Amrani,Mode,Veste,3,1163.5,0.1,Italie,Magasin,1.14,1,3141.4500000000003
CMD00121,2024-07-13,Léa Durand,Sport,Ballon,3,286.27,0.15,Italie,Web,2.73,1,729.9884999999999
CMD00122,2024-10-03,Sarah Moreau,Jouets,Peluche,3,1035.32,0.05,Suisse,Magasin,9.03,3,2950.662
CMD00123,2024-11-21,Paolo Bianchi,Sport,Vélo,5,696.71,0.05,Allemagne,Web,2.66,5,3309.3725
CMD00124,2024-03-18,Jean Dupont,Mode,Montre,1,1073.5,0.15,Italie,Magasin,3.1,2,912.475
CMD00125,2024-08-01,Lucie Martin,Mode,Sac à main,2,1383.89,0.0,Suisse,App,1.38,1,2767.78
CMD00126,2024-09-13,Nina Müller,Mode,Chaussures,3,1842.54,0.2,Belgique,Magasin,0.04,4,4422.0960000000005
CMD00127,2024-01-28,Sarah Moreau,Jouets,Peluche,1,1198.58,0.15,France,Web,3.14,2,1018.7929999999999
CMD00128,2024-01-07,Carlos Gomez,Beauté,Rouge à lèvres,2,1497.47,0.25,Suisse,Magasin,2.22,3,2246.205
CMD00129,2024-09-30,Nina Müller,Sport,Tapis de course,3,1791.46,0.25,Belgique,Magasin,11.24,4,4030.785
CMD00130,2024-04-28,Léa Durand,Électronique,TV 4K,2,714.75,0.1,Belgique,Web,3.64,1,1286.55
CMD00131,2024-05-05,Emma Rossi,Maison,Aspirateur,5,372.74,0.3,Maroc,App,4.83,2,1304.59
CMD00132,2024-03-07,Léa Durand,Maison,Lampadaire,4,474.1,0.2,Maroc,App,8.9,4,1517.1200000000001
CMD00133,2024-04-20,Léa Durand,Jouets,Lego,1,1001.9,0.3,France,Magasin,8.76,2,701.3299999999999
CMD00134,2024-10-08,Sarah Moreau,Mode,Chaussures,1,1133.27,0.05,Espagne,App,4.26,4,1076.6064999999999
CMD00135,2024-10-15,Youssef El Amrani,Beauté,Rouge à lèvres,2,496.26,0.1,Belgique,App,14.8,5,893.268
CMD00136,2024-12-15,Ali Benali,Maison,Machine à café,5,212.55,0.25,Allemagne,Magasin,5.48,4,797.0625
CMD00137,2024-09-03,Sarah Moreau,Mode,Montre,3,184.9,0.25,Espagne,Web,2.6,1,416.02500000000003
CMD00138,2024-08-07,Sarah Moreau,Maison,Mixeur,3,1053.78,0.2,Italie,Magasin,14.74,2,2529.072
CMD00139,2024-03-02,Léa Durand,Électronique,Ordinateur portable,3,1732.36,0.25,Maroc,Web,14.63,3,3897.81
CMD00140,2024-06-21,Ali Benali,Maison,Mixeur,1,1439.73,0.1,Espagne,App,8.57,3,1295.757
CMD00141,2024-07-30,Emma Rossi,Jouets,Voiture téléguidée,4,418.1,0.05,Maroc,Web,4.86,3,1588.78
CMD00142,2024-05-21,Youssef El Amrani,Sport,Vélo,1,1475.13,0.15,Espagne,Web,1.72,2,1253.8605
CMD00143,2024-09-15,Léa Durand,Électronique,Casque audio,5,1017.15,0.3,Suisse,App,7.22,3,3560.0249999999996
CMD00144,2024-06-20,Youssef El Amrani,Mode,Chaussures,1,744.77,0.05,Belgique,Web,8.23,2,707.5314999999999
CMD00145,2024-11-24,Nina Müller,Jouets,Voiture téléguidée,2,651.48,0.05,Italie,Web,1.32,5,1237.812
CMD00146,2024-04-03,Ali Benali,Jouets,Lego,1,242.23,0.3,Allemagne,Web,7.07,3,169.56099999999998
CMD00147,2024-05-16,Jean Dupont,Mode,Jean,1,1702.95,0.15,Italie,App,14.48,5,1447.5075
CMD00148,2024-11-15,Youssef El Amrani,Jouets,Jeu de société,2,370.65,0.1,Belgique,App,13.9,4,667.17
CMD00149,2024-10-12,Lucie Martin,Jouets,Jeu de société,5,288.15,0.0,Suisse,App,11.26,4,1440.75
CMD00150,2024-03-02,Paolo Bianchi,Jouets,Puzzle,3,336.89,0.2,Italie,App,3.54,2,808.5360000000001
CMD00151,2024-05-04,Youssef El Amrani,Mode,Chaussures,4,639.23,0.05,Maroc,Magasin,5.89,3,2429.074
CMD00152,2024-08-12,Jean Dupont,Maison,Mixeur,1,1497.74,0.3,Belgique,Web,8.66,1,1048.418
CMD00153,2024-06-27,Lucie Martin,Sport,Ballon,2,1091.67,0.1,Suisse,App,8.14,3,1965.006
CMD00154,2024-08-18,Carlos Gomez,Jouets,Lego,2,287.15,0.3,Maroc,Web,13.18,1,402.00999999999993
CMD00155,2024-10-15,Lucie Martin,Sport,Ballon,3,1579.31,0.25,France,App,11.29,5,3553.4475
CMD00156,2024-12-18,Youssef El Amrani,Beauté,Shampoing,4,1144.08,0.05,Allemagne,Web,7.41,2,4347.504
CMD00157,2024-07-02,Lucie Martin,Sport,Vélo,5,230.16,0.15,Allemagne,Magasin,6.86,4,978.18
CMD00158,2024-06-21,Jean Dupont,Électronique,Ordinateur portable,5,1084.32,0.2,Italie,Magasin,3.44,4,4337.28
CMD00159,2024-10-08,Emma Rossi,Mode,Montre,2,34.28,0.1,Espagne,Magasin,10.41,4,61.704
CMD00160,2024-12-25,Léa Durand,Jouets,Puzzle,3,1202.07,0.15,Belgique,Web,2.72,2,3065.2785
CMD00161,2024-04-20,Youssef El Amrani,Sport,Ballon,2,1895.09,0.15,Espagne,Magasin,13.68,2,3221.653
CMD00162,2024-05-12,Youssef El Amrani,Beauté,Parfum,4,1190.0,0.15,Italie,Web,8.48,4,4046.0
CMD00163,2024-02-20,Youssef El Amrani,Électronique,Ordinateur portable,5,1417.4,0.05,France,Web,11.57,2,6732.65
CMD00164,2024-10-28,Léa Durand,Mode,Sac à main,5,217.45,0.0,Allemagne,Web,13.88,1,1087.25
CMD00165,2024-01-01,Nina Müller,Maison,Mixeur,5,1969.83,0.25,France,Web,2.79,1,7386.862499999999
CMD00166,2024-05-16,Nina Müller,Maison,Ventilateur,3,1186.64,0.2,Espagne,App,5.69,5,2847.936
CMD00167,2024-03-03,Ali Benali,Jouets,Puzzle,2,1607.68,0.2,Suisse,Magasin,9.06,3,2572.2880000000005
CMD00168,2024-12-12,Sarah Moreau,Maison,Aspirateur,4,1079.42,0.1,Maroc,Web,13.84,2,3885.9120000000003
CMD00169,2024-06-30,Lucie Martin,Beauté,Rouge à lèvres,1,1178.27,0.1,Allemagne,App,6.79,3,1060.443
CMD00170,2024-06-25,Léa Durand,Maison,Ventilateur,1,1001.75,0.25,France,Web,0.51,1,751.3125
CMD00171,2024-02-18,Léa Durand,Sport,Vélo,5,1165.37,0.25,Belgique,Magasin,3.3,2,4370.1375
CMD00172,2024-03-03,Carlos Gomez,Mode,Sac à main,1,1922.53,0.0,Allemagne,Magasin,8.36,4,1922.53
CMD00173,2024-08-02,Carlos Gomez,Maison,Ventilateur,5,377.08,0.3,Espagne,Web,8.93,5,1319.7799999999997
CMD00174,2024-10-31,Youssef El Amrani,Beauté,Shampoing,3,427.71,0.1,Maroc,App,5.24,5,1154.817
CMD00175,2024-06-23,Lucie Martin,Électronique,Tablette,5,761.67,0.1,Belgique,Web,0.99,3,3427.515
CMD00176,2024-11-14,Léa Durand,Beauté,Sérum,2,1053.54,0.15,Allemagne,Magasin,7.22,3,1791.0179999999998
CMD00177,2024-10-14,Ali Benali,Beauté,Rouge à lèvres,4,372.04,0.2,France,Magasin,1.13,3,1190.528
CMD00178,2024-03-27,Carlos Gomez,Beauté,Shampoing,2,548.78,0.25,Italie,App,7.9,1,823.17
CMD00179,2024-11-08,Youssef El Amrani,Sport,Raquette,4,1681.18,0.3,Suisse,App,9.88,1,4707.304
CMD00180,2024-08-26,Sarah Moreau,Mode,Jean,3,469.84,0.1,France,App,7.58,1,1268.568
CMD00181,2024-10-17,Carlos Gomez,Mode,Jean,5,365.3,0.0,Espagne,Magasin,8.35,2,1826.5
CMD00182,2024-08-10,Ali Benali,Beauté,Sérum,3,1925.67,0.15,Suisse,Web,10.02,5,4910.4585
CMD00183,2024-05-26,Carlos Gomez,Sport,Vélo,2,35.87,0.3,Espagne,Magasin,11.04,5,50.217999999999996
CMD00184,2024-10-29,Lucie Martin,Électronique,Casque audio,5,1754.12,0.2,Maroc,Web,6.32,2,7016.48
CMD00185,2024-04-28,Carlos Gomez,Jouets,Voiture téléguidée,5,690.22,0.05,France,Magasin,12.38,3,3278.545
CMD00186,2024-08-13,Jean Dupont,Maison,Machine à café,4,1663.0,0.2,Maroc,Web,6.14,1,5321.6
CMD00187,2024-10-06,Léa Durand,Maison,Ventilateur,5,595.99,0.15,Suisse,App,14.62,4,2532.9575
CMD00188,2024-04-24,Ali Benali,Électronique,Tablette,1,1738.25,0.1,Allemagne,App,13.42,1,1564.425
CMD00189,2024-09-02,Léa Durand,Maison,Machine à café,1,544.67,0.05,France,App,9.5,1,517.4364999999999
CMD00190,2024-04-07,Sarah Moreau,Beauté,Parfum,3,849.19,0.05,Allemagne,Magasin,7.89,5,2420.1915
CMD00191,2024-12-21,Lucie Martin,Jouets,Lego,5,46.6,0.05,Maroc,Magasin,7.94,2,221.35
CMD00192,2024-03-16,Ali Benali,Jouets,Lego,1,555.37,0.0,Italie,Web,6.08,2,555.37
CMD00193,2024-06-16,Lucie Martin,Maison,Ventilateur,5,31.88,0.2,Suisse,Magasin,3.96,3,127.52000000000001
CMD00194,2024-06-21,Paolo Bianchi,Électronique,Ordinateur portable,2,1205.03,0.0,Italie,Magasin,7.41,2,2410.06
CMD00195,2024-11-05,Carlos Gomez,Beauté,Parfum,1,843.35,0.15,Maroc,Web,11.56,2,716.8475
CMD00196,2024-01-29,Lucie Martin,Maison,Ventilateur,3,376.9,0.2,Suisse,App,9.05,2,904.56
CMD00197,2024-07-05,Jean Dupont,Maison,Mixeur,5,1675.79,0.1,Maroc,Magasin,5.34,1,7541.055000000001
CMD00198,2024-11-07,Jean Dupont,Électronique,Tablette,3,1899.12,0.3,France,Magasin,9.96,5,3988.1519999999996
CMD00199,2024-08-31,Emma Rossi,Beauté,Sérum,1,547.12,0.3,Espagne,App,3.93,3,382.984
CMD00200,2024-07-19,Ali Benali,Beauté,Shampoing,3,1694.35,0.1,Belgique,Magasin,8.95,2,4574.745
CMD00201,2024-05-08,Ali Benali,Mode,Veste,2,953.73,0.0,Suisse,App,1.13,1,1907.46
CMD00202,2024-05-10,Sarah Moreau,Beauté,Sérum,1,1412.8,0.05,Allemagne,Magasin,6.9,3,1342.1599999999999
CMD00203,2024-01-12,Nina Müller,Beauté,Shampoing,2,1600.84,0.15,Suisse,Magasin,14.52,2,2721.428
CMD00204,2024-01-17,Carlos Gomez,Électronique,Smartphone,3,636.05,0.1,France,Magasin,13.76,5,1717.3349999999998
CMD00205,2024-09-20,Sarah Moreau,Mode,Montre,2,1384.21,0.0,France,App,2.78,3,2768.42
CMD00206,2024-03-29,Paolo Bianchi,Maison,Machine à café,5,1520.48,0.2,Suisse,Web,10.38,1,6081.92
CMD00207,2024-02-16,Jean Dupont,Électronique,Smartphone,4,450.21,0.05,France,App,0.77,2,1710.7979999999998
CMD00208,2024-03-26,Paolo Bianchi,Sport,Raquette,2,1180.64,0.0,Maroc,App,2.71,5,2361.28
CMD00209,2024-06-24,Nina Müller,Mode,Chaussures,2,632.58,0.3,Italie,Magasin,10.46,1,885.612
CMD00210,2024-04-12,Léa Durand,Beauté,Crème visage,2,849.31,0.2,France,Web,7.11,4,1358.896
CMD00211,2024-04-07,Carlos Gomez,Jouets,Puzzle,1,1303.83,0.1,Maroc,Magasin,8.41,5,1173.447
CMD00212,2024-02-08,Carlos Gomez,Jouets,Voiture téléguidée,3,1395.61,0.05,Belgique,Magasin,10.87,4,3977.4885
CMD00213,2024-06-09,Ali Benali,Mode,Jean,1,1081.42,0.25,Belgique,Magasin,4.78,2,811.065
CMD00214,2024-06-18,Nina Müller,Maison,Aspirateur,5,1235.57,0.25,Allemagne,App,6.26,3,4633.3875
CMD00215,2024-04-05,Carlos Gomez,Électronique,Smartphone,2,52.33,0.3,Allemagne,Web,2.78,2,73.26199999999999
CMD00216,2024-11-13,Sarah Moreau,Électronique,Smartphone,3,149.36,0.25,Maroc,Magasin,5.26,1,336.06000000000006
CMD00217,2024-12-24,Jean Dupont,Maison,Lampadaire,5,964.76,0.15,Suisse,App,14.76,2,4100.2300000000005
CMD00218,2024-05-21,Lucie Martin,Maison,Mixeur,4,1477.79,0.25,France,App,0.05,5,4433.37
CMD00219,2024-03-13,Emma Rossi,Mode,Sac à main,2,599.65,0.25,Belgique,App,8.84,1,899.4749999999999
CMD00220,2024-10-19,Emma Rossi,Beauté,Crème visage,1,789.34,0.15,Espagne,App,3.27,2,670.939
CMD00221,2024-03-02,Emma Rossi,Beauté,Crème visage,5,525.38,0.15,Maroc,App,6.26,3,2232.8650000000002
CMD00222,2024-03-12,Lucie Martin,Sport,Tapis de course,5,1978.48,0.3,Allemagne,Web,14.87,3,6924.679999999999
